last_name,congress,house,days_until_term_ends,sex,days_since_strike,relevant,date,loyalty,state_code,dim_2,id,dim_1,office_attainment_type,first_name,strike_recently,icpsr,sentiment,dronebase,title,occupancy,restraining,state,votes,party,filibuster,extreme
COATS,112,0,1666,1,5,1,6/12/12,0,22,-0.227,f74209f084ba38199bacd55f3a94f9b6,0.375,1,Daniel,1,14806,1,1,EXECUTIVE SESSION,0,0,INDIANA,409,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,a91a5b84d93a2e1357264dd72e6a0f55,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
,107,,,,,1,9/21/01,0,,,1a99ef5cdfe56279a0fc9a396b8bcb84,,,,1,,1,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2002,,0,,,,0,
WOLF,113,1,710,1,0,1,1/23/13,0,40,-0.213,923681492efbcc269b8fd5e2694dd1e3,0.284,1,Frank,1,14869,0,1,TERRORIST ATTACK IN BENGHAZI,0,,VIRGINI,1005,0,0,0
FOSTER,111,1,221,1,6,1,5/27/10,1,21,-0.184,276239f4eeb725777410586e9b3a7d39,-0.219,1,Bill,1,20749,,0,House of Representatives,0,,ILLINOI,983,1,0,0
MCCAIN,113,0,1398,1,27,1,3/7/13,0,61,-0.621,8d2968df63d4000b78899ccc211eb5d5,0.382,1,John,0,15039,1,2,EXECUTIVE SESSION,0,0,ARIZONA,525,0,0,0
KUCINICH,112,1,217,1,3,1,5/31/12,1,24,0.024,295f5c6d8cdfb5978e342fe40153a6d7,-0.582,1,Dennis,1,29748,0,0,PERPETUAL WAR FOR PERPETUAL PEACE,0,,OHIO,1357,1,0,0
FEINSTEIN,114,0,1295,0,9,0,6/18/15,1,71,-0.188,172f74b408adf3d27c63f59dc9c0719c,-0.263,1,Dianne,0,49300,,2,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,0,,CALIFOR,407,1,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,3b74618049c8d67e9b8b35c42cfb9b3d,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
HUNTER,114,1,99,1,0,1,9/26/16,0,71,0.282,9497e8bcf578990066846674796b01de,0.511,1,Duncan,1,20963,,2,COAST GUARD AND MARITIME TRANSPORTATION AMENDMENTS ACT OF 2016,0,,CALIFOR,1115,0,0,0
GOHMERT,113,1,687,1,7,1,2/15/13,0,49,-0.235,72d5c8909fe9cec56c77dbdd2a7f8cf0,0.597,1,Louie,1,20527,1,2,THREATS TO THE UNITED STATES,0,0,TEXAS,937,0,0,0
BIDEN,108,0,1921,1,332,0,10/1/03,0,11,-0.042,07a1a0c24c7f191f47d872d5485fbd48,-0.314,1,Joseph,0,14101,,0,"EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR IRAQ AND AFGHANISTAN SECURITY 
  AND RECONSTRUCTION ACT, 2004",0,,DELAWAR,491,1,0,0
WOLF,113,1,529,1,10,0,7/23/13,0,40,-0.213,2d34a5dc08b94893689c827093d7c3b6,0.284,1,Frank,0,14869,,1,SIXTH UNANSWERED BENGHAZI QUESTION,0,,VIRGINI,1005,0,0,0
INSLEE,108,1,292,1,500,0,3/17/04,0,73,-0.194,b768fd32874fd82063d06d4ae519c2f1,-0.33,1,Jay,0,29937,,1,"{time} 2230
  MEDICARE PRESCRIPTION DRUG BILL",0,,WASHING,841,1,0,0
NEWHOUSE,114,1,574,1,0,1,6/9/15,0,73,0.218,98d801f90518caba15da51b66f4c9cbb,0.367,1,Dan,1,21556,1,1,"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES 
  APPROPRIATIONS ACT, 2016",0,0,WASHING,1120,0,0,0
BISHOP,107,1,163,1,,1,7/24/02,0,44,0.537,65fc74aa8b91e9566a1c3f6391bf4626,-0.289,1,Sanford,1,29339,1,2,INTELLIGENCE AUTHORIZATION ACT FOR FISCAL YEAR 2003,0,0,GEORGIA,656,1,0,0
KUCINICH,112,1,217,1,3,1,5/31/12,1,24,0.024,c9a775dd5ab2417209003ba9100b73cf,-0.582,1,Dennis,1,29748,0,0,PERPETUAL WAR FOR PERPETUAL PEACE,0,,OHIO,1357,1,0,0
LIEBERMAN,107,0,1548,1,,0,10/8/02,0,1,-0.312,313377109949b61e7a42dc1e8952f3c8,-0.205,1,Joseph,1,15704,,0,AUTHORIZATION OF THE USE OF UNITED STATES ARMED FORCES AGAINST IRAQ,0,,CONNECT,448,,0,0
LINCOLN,110,0,1123,0,4,0,12/7/07,0,42,0.178,96701ff19a4678cbe5bc10c91d675ddb,-0.166,1,Blanche,1,29305,,1,"FARM, NUTRITION, AND BIOENERGY ACT OF 2007",0,,ARKANSA,534,1,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,e242780acc25f6ab293a953b1e24015d,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
GOHMERT,112,1,435,1,0,1,10/26/11,0,49,-0.235,193362b3441ef0635642b6deaaab64a6,0.597,1,Louie,1,20527,1,2,AMERICA'S RELIGIOUS HERITAGE,0,0,TEXAS,1311,0,0,0
BAYH,109,0,1578,1,238,1,9/8/06,0,22,-0.142,25be56f079e02bf04890797f6c4cb966,-0.158,1,Evan,0,49901,1,1,DEFENSE APPROPRIATIONS,0,0,INDIANA,515,1,0,0
,113,,,,4,1,4/25/13,0,,,bce841856286096641372edaed90f714,,,,1,,0,,CPC HOUR: IRAQ,,,,,,0,
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,15ac0d7dc82820b6d2dff67011e468d2,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
PAUL,111,1,160,1,2,1,7/27/10,0,49,-0.505,338f7512a0b329b2a1ee278a3a80bb58,0.863,1,Ronald,1,14290,0,2,PAKISTAN WAR POWERS RESOLUTION,0,,TEXAS,905,0,0,1
POE,113,1,396,1,4,0,12/3/13,0,49,0.058,85bd8afd2cdad497f978e5e15b5f0024,0.592,1,Ted,1,20528,,2,AMAZON PRIME AIR,0,,TEXAS,974,0,0,0
